statcod;jrsttcd;statnam;naam;dac_cod;dac_id
GM1916;2020GM1916;Leidschendam-Voorburg;Haaglanden;UTR;15
GM1926;2020GM1926;Pijnacker-Nootdorp;Haaglanden;UTR;15
GM0484;2020GM0484;Alphen aan den Rijn;Hollands Midden;HAA;16
GM0513;2020GM0513;Gouda;Hollands Midden;HAA;16
GM0534;2020GM0534;Hillegom;Hollands Midden;HAA;16
GM0537;2020GM0537;Katwijk;Hollands Midden;HAA;16
GM0546;2020GM0546;Leiden;Hollands Midden;HAA;16
GM0547;2020GM0547;Leiderdorp;Hollands Midden;HAA;16
GM0553;2020GM0553;Lisse;Hollands Midden;HAA;16
GM0569;2020GM0569;Nieuwkoop;Hollands Midden;HAA;16
GM0575;2020GM0575;Noordwijk;Hollands Midden;HAA;16
GM0579;2020GM0579;Oegstgeest;Hollands Midden;HAA;16
GM0626;2020GM0626;Voorschoten;Hollands Midden;HAA;16
GM0627;2020GM0627;Waddinxveen;Hollands Midden;HAA;16
GM0638;2020GM0638;Zoeterwoude;Hollands Midden;HAA;16
GM1525;2020GM1525;Teylingen;Hollands Midden;HAA;16
GM1884;2020GM1884;Kaag en Braassem;Hollands Midden;HAA;16
GM1892;2020GM1892;Zuidplas;Hollands Midden;HAA;16
GM1901;2020GM1901;Bodegraven-Reeuwijk;Hollands Midden;HAA;16
GM1931;2020GM1931;Krimpenerwaard;Hollands Midden;HAA;16
GM0489;2020GM0489;Barendrecht;Rotterdam-Rijnmond;RR;17
GM0501;2020GM0501;Brielle;Rotterdam-Rijnmond;RR;17
GM0502;2020GM0502;Capelle aan den IJssel;Rotterdam-Rijnmond;RR;17
GM0530;2020GM0530;Hellevoetsluis;Rotterdam-Rijnmond;RR;17
GM0542;2020GM0542;Krimpen aan den IJssel;Rotterdam-Rijnmond;RR;17
GM0556;2020GM0556;Maassluis;Rotterdam-Rijnmond;RR;17
GM0597;2020GM0597;Ridderkerk;Rotterdam-Rijnmond;RR;17
GM0599;2020GM0599;Rotterdam;Rotterdam-Rijnmond;RR;17
GM0606;2020GM0606;Schiedam;Rotterdam-Rijnmond;RR;17
